method,curve_key,accuracy,correct,n,avg_flops_tflops,pct_lrm_flops,distance_to_ba80_tflops,distance_to_ba80_pct_lrm,regen_ratio,threshold,checkpoint,checkpoint_file,checkpoint_dir,checkpoint_kind,lambda,seed,epoch
TRIM-Agg,ppo_agg,61.5,123,200,365.258953,81.91855450777359,8.554462600000022,1.9185545077735924,0.6823371390194761,0.74705,trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,final,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,365.258953,81.91855450777359,8.554462600000022,1.9185545077735924,0.6823371390194761,0.74705,trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,epoch,0.0,1,40
TRIM-Agg,ppo_agg,62.0,124,200,347.964053,78.03973594160283,8.740437400000019,1.960264058397172,0.628609805238415,0.7589,trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,best,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,365.497653,81.97208901746981,8.793162600000016,1.9720890174698127,0.6892209536601747,0.7075,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,10
TRIM-Agg,ppo_agg,61.5,123,200,366.288093,82.14936517098582,9.583602600000006,2.149365170985817,0.7023169912693082,0.6708,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,30
TRIM-Agg,ppo_agg,61.5,123,200,347.081913,77.84189374477243,9.622577400000011,2.1581062552275654,0.6312961719274681,0.70995,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,10
TRIM-Agg,ppo_agg,61.5,123,200,346.883953,77.79749621004491,9.820537399999978,2.202503789955088,0.6227333781061115,0.75,trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,final,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,346.883953,77.79749621004491,9.820537399999978,2.202503789955088,0.6227333781061115,0.75,trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,epoch,0.0,1,40
TRIM-Agg,ppo_agg,61.5,123,200,366.557873,82.20987015643131,9.853382599999975,2.2098701564313075,0.6966084620550705,0.70715,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,10
TRIM-Agg,ppo_agg,62.0,124,200,346.283633,77.6628592730494,10.420857399999989,2.3371407269505937,0.6202149093351242,0.7502,trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,final,0.0,1,
TRIM-Agg,ppo_agg,62.0,124,200,346.283633,77.6628592730494,10.420857399999989,2.3371407269505937,0.6202149093351242,0.7502,trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,epoch,0.0,1,40
TRIM-Agg,ppo_agg,62.0,124,200,367.800373,82.4885321937063,11.095882599999982,2.4885321937063054,0.7115513767629281,0.75015,trim_agg_omnimath13_to34_point_search_lam5e-6_seed1/epoch_0030.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam5e-6_seed1/epoch_0030.pt,trim_agg_omnimath13_to34_point_search_lam5e-6_seed1,epoch,5e-06,1,30
